"","Year","MeanDischarge","Q10","Q50","Q90","MAM7","MeanBaseflow"
"74",1990,673.304109589041,422.4,585,1146,380.285714285714,625.737950412561
"75",1991,582.391780821918,404,564,813.2,365.714285714286,551.432317895195
"76",1992,478.915300546448,326,520.5,610.5,306.571428571429,460.584186616359
"77",1993,1139.53698630137,486,592,2522,436.142857142857,975.554214692104
"78",1994,514.035616438356,309.4,532,737.6,293.571428571429,494.818150743965
"79",1995,1073.75342465753,451.8,783,2216,412.571428571428,845.415820473947
"80",1996,1327.3306010929,468.5,930.5,2565,433.285714285714,1107.48646872253
"81",1997,1318.8904109589,492,763,2290,453,1015.35186909384
"82",1998,1427.39178082192,559.4,1350,2646,500.714285714286,1256.71970319635
"83",1999,1412.95342465753,637,1010,2816,566.857142857143,1282.46305936073
"84",2000,1065.00819672131,508.5,789,1880,462.285714285714,1000.98182320867
"85",2001,668.490410958904,406.2,637,981.2,372,648.22025177098
"86",2002,785.994520547945,387.8,579,1370,366.571428571428,718.869600173119
"87",2003,796.704109589041,408,602,1420,363.428571428571,732.79743600014
"88",2004,731.669398907104,407,584.5,1315,388.142857142857,665.88121074233
"89",2005,772.512328767123,399,608,1296,368,619.822118576502
"90",2006,1365.68219178082,493.8,827,3208,467.142857142857,1228.00368116689
"91",2007,798.068493150685,435,633,1452,393.285714285714,726.831949975043
"92",2008,877.737704918033,467.5,624.5,1765,443,810.066958105647
"93",2009,747.090410958904,448.4,631,1216,424.428571428571,679.208124592303
"94",2010,707.643835616438,444.8,664,1066,391.428571428571,650.830932811481
"95",2011,1091.1397260274,534,755,2140,509.714285714286,963.112327949204
"96",2012,835.434426229508,460,649,1550,422.857142857143,743.868410096279
"97",2013,691.397260273973,513,583,1084,479.857142857143,643.357707084287
"98",2014,653.72602739726,464,580,933.4,423.142857142857,600.268219178082
"99",2015,635.915068493151,460.4,556,867.2,446.142857142857,582.476185777693
"100",2016,865.691256830601,487,614,1555,435.857142857143,756.863266864123
"101",2017,1296.26575342466,566.4,648,2946,537.571428571429,1045.67620873574
"102",2018,679.145205479452,506.4,603,1010,493.428571428571,648.546529680365
"103",2019,929.558904109589,522.4,604,1886,503.285714285714,815.686071296345
"104",2020,591.978142076503,481,548,745.5,464.714285714286,570.607122256917
"105",2021,527.216438356164,445,540,588,417.285714285714,516.761604696673
"106",2022,676.586956521739,549.7,647.5,851.3,546.571428571428,NA
